ts,platform,ms_played,conn_country,ip_addr,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,audiobook_title,audiobook_uri,audiobook_chapter_uri,audiobook_chapter_title,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode,hour,time_of_day
2024-04-13 10:39:47+00:00,ios,157485,US,35.1.41.148,Home,Good Neighbours,Home,spotify:track:6dpLxbF7lfCAnC9QRTjNLK,,,,,,,,trackdone,trackdone,True,False,False,1713004629,False,10,morning
2024-04-13 10:44:34+00:00,ios,286369,US,35.1.41.148,You’re Gonna Go Far,Noah Kahan,Stick Season,spotify:track:4nHJcUtNSUVjXRnjdP29Bk,,,,,,,,trackdone,trackdone,True,False,False,1713004787,False,10,morning
2024-04-13 10:47:48+00:00,ios,193186,US,35.1.41.148,Strangers,Mt. Joy,Rearrange Us,spotify:track:3wcluZHyfuTzIXHfwXVAIE,,,,,,,,trackdone,trackdone,True,False,False,1713005074,False,10,morning
2024-04-13 10:50:31+00:00,ios,163586,US,35.1.41.148,"1 step forward, 3 steps back",Olivia Rodrigo,SOUR,spotify:track:4wcBRRpIfesgcyUtis7PEg,,,,,,,,trackdone,trackdone,True,False,False,1713005268,False,10,morning
2024-04-13 10:52:22+00:00,ios,109735,US,35.1.41.148,Flowers in Your Hair,The Lumineers,The Lumineers,spotify:track:3Hvg5tRKsQlX25wYwgMF9p,,,,,,,,trackdone,trackdone,True,False,False,1713005432,False,10,morning
2024-04-13 10:54:51+00:00,ios,148317,US,35.1.41.148,Belong Together,Mark Ambor,Belong Together,spotify:track:5uQ7de4EWjb3rkcFxyEOpu,,,,,,,,trackdone,trackdone,True,False,False,1713005542,False,10,morning
2024-04-13 10:58:27+00:00,ios,216680,US,35.1.41.148,Evergreen (You Didn’t Deserve Me At All),Omar Apollo,Ivory,spotify:track:2TktkzfozZifbQhXjT6I33,,,,,,,,trackdone,trackdone,True,False,False,1713005691,False,10,morning
2024-04-13 11:01:35+00:00,ios,185906,US,35.1.41.148,Hey Girl,Stephen Sanchez,Easy On My Eyes,spotify:track:4rypm0OAHbU1IXLA8atiGE,,,,,,,,trackdone,trackdone,True,False,False,1713005908,False,11,morning
2024-04-13 11:05:07+00:00,ios,212680,US,35.1.41.148,Apple Tree Blues,Caamp,Lavender Days,spotify:track:7qB3O5pjTCpuEpW98jrRHD,,,,,,,,trackdone,trackdone,True,False,False,1713006095,False,11,morning
2024-04-13 11:09:10+00:00,ios,242013,US,35.1.41.148,drivers license,Olivia Rodrigo,SOUR,spotify:track:5wANPM4fQCJwkGd4rN57mH,,,,,,,,trackdone,trackdone,True,False,False,1713006308,False,11,morning
2024-04-13 11:11:53+00:00,ios,162794,US,35.1.41.148,In My Mind,Lyn Lapid,In My Mind,spotify:track:2W779g2UrRZtVdf3FcEOO1,,,,,,,,trackdone,trackdone,True,False,False,1713006550,False,11,morning
2024-04-13 11:14:33+00:00,ios,159595,US,35.1.41.148,4EVER,Clairo,4EVER,spotify:track:5mIOsPuQdXchVY0jB5NO9Q,,,,,,,,trackdone,trackdone,True,False,False,1713006714,False,11,morning
2024-04-13 11:17:28+00:00,ios,174086,US,35.1.41.148,Lovers to Strangers,Chance Peña,Lovers to Strangers,spotify:track:401qSkk4KOeBVld2aiCAoK,,,,,,,,trackdone,trackdone,True,False,False,1713006874,False,11,morning
2024-04-13 11:20:29+00:00,ios,180146,US,35.1.41.148,See The Light,Stephen Sanchez,Easy On My Eyes,spotify:track:5nsFJfYtAFZmL9PbtYKYcA,,,,,,,,trackdone,trackdone,True,False,False,1713007048,False,11,morning
2024-04-13 11:24:21+00:00,ios,232133,US,35.1.41.148,Deeper Well,Kacey Musgraves,Deeper Well,spotify:track:333XFHKsHU0pOocFzBgrJi,,,,,,,,trackdone,trackdone,True,False,False,1713007229,False,11,morning
2024-04-13 11:28:10+00:00,ios,228013,US,35.1.41.148,Something in the Orange,Zach Bryan,Something in the Orange,spotify:track:3WMj8moIAXJhHsyLaqIIHI,,,,,,,,trackdone,trackdone,True,False,False,1713007462,False,11,morning
2024-04-13 11:31:59+00:00,ios,229477,US,35.1.41.148,Is It Over Now? (Taylor's Version) (From The Vault),Taylor Swift,1989 (Taylor's Version),spotify:track:1Iq8oo9XkmmvCQiGOfORiz,,,,,,,,trackdone,trackdone,True,False,False,1713007690,False,11,morning
2024-04-13 11:36:09+00:00,ios,249191,US,35.1.41.148,Ivy,Frank Ocean,Blonde,spotify:track:2ZWlPOoWh0626oTaHrnl2a,,,,,,,,trackdone,trackdone,True,False,False,1713007920,False,11,morning
2024-04-13 11:38:54+00:00,ios,164626,US,35.1.41.148,Dirty Love,Mt. Joy,Mt. Joy,spotify:track:2bsC6KLZ6a9v6zdoDkziBL,,,,,,,,trackdone,trackdone,True,False,False,1713008170,False,11,morning
2024-04-13 11:41:15+00:00,ios,140643,US,35.1.41.148,welcome and goodbye,"Dream, Ivory",welcome and goodbye,spotify:track:00RLNHc2jkEjUoCUlFgPVT,,,,,,,,trackdone,trackdone,True,False,False,1713008335,False,11,morning
2024-04-13 11:46:18+00:00,ios,302000,US,35.1.41.148,August (Acoustic),flipturn,August (Acoustic),spotify:track:2JXiyD1zucGdFmnTeYb5Ry,,,,,,,,trackdone,trackdone,True,False,False,1713008476,False,11,morning
2024-04-13 11:49:15+00:00,ios,175933,US,35.1.41.148,happier,Olivia Rodrigo,SOUR,spotify:track:2tGvwE8GcFKwNdAXMnlbfl,,,,,,,,trackdone,trackdone,True,False,False,1713008779,False,11,morning
2024-04-13 11:52:09+00:00,ios,173800,US,35.1.41.148,Self destruct,BETWEEN FRIENDS,"I Love My Girl, She's My Boy",spotify:track:2ROJw0Y9Ypl79RYsYuqT3w,,,,,,,,trackdone,trackdone,True,False,False,1713008955,False,11,morning
2024-04-13 11:55:59+00:00,ios,228922,US,35.1.41.148,Amoeba,Clairo,Sling,spotify:track:0HAqq2GcQKyi3s87GuN7jU,,,,,,,,trackdone,trackdone,True,False,False,1713009129,False,11,morning
